action	folder	filename	new_folder	new_filename	reason
stash-dupe	african-history	AfricaMap-Hertslet-1909-Harrison-and-Sons.pdf	_stash-duplicates	AfricaMap-Hertslet-1909-Harrison-and-Sons.pdf	duplicate of african-history/AfricaTreatyMap-Hertslet-1909-Harrison-and-Sons.pdf (shorter title (9 vs 15 chars))
rename-pub	african-history	AfricanColonialState-Young-1994-Yale-University-Press.pdf	african-history	AfricanColonialState-Young-1994-YaleUP.pdf	publisher slug Yale-University-Press -> YaleUP
rename-pub	african-history	AfricanDominionHistory-Gomez-2018-Princeton.pdf	african-history	AfricanDominionHistory-Gomez-2018-PrincetonUP.pdf	publisher slug Princeton -> PrincetonUP
stash-dupe	african-history	AfricanSahelHandbook-Villalon-2021-Oxford.pdf	_stash-duplicates	AfricanSahelHandbook-Villalon-2021-Oxford.pdf	duplicate of african-history/OxfordHandbookAfricanSahel-Villalon-2021-OxfordUP.pdf (shorter title (20 vs 26 chars))
rename-pub	african-history	AfricansContinentHistory-Iliffe-1995-Cambridge-University-Press.pdf	african-history	AfricansContinentHistory-Iliffe-1995-CambridgeUP.pdf	publisher slug Cambridge-University-Press -> CambridgeUP
rename-pub	african-history	AfricansContinentHistory-Iliffe-2008-Cambridge.pdf	african-history	AfricansContinentHistory-Iliffe-2008-CambridgeUP.pdf	publisher slug Cambridge -> CambridgeUP
rename-pub	african-history	AfricaPost1940History-Cooper-2002-Cambridge-University-Press.pdf	african-history	AfricaPost1940History-Cooper-2002-CambridgeUP.pdf	publisher slug Cambridge-University-Press -> CambridgeUP
stash-dupe	african-history	AfricaPost1940History-Cooper-2002-Cambridge-UP.pdf	_stash-duplicates	AfricaPost1940History-Cooper-2002-Cambridge-UP.pdf	duplicate of african-history/AfricaPost1940History-Cooper-2002-Cambridge-University-Press.pdf (tied; lower score)
stash-dupe	african-history	CameroonNigeriaBorderDispute-Lukong-2011-Langaa-Research-and-Publishing-Common-In.pdf	_stash-duplicates	CameroonNigeriaBorderDispute-Lukong-2011-Langaa-Research-and-Publishing-Common-In.pdf	duplicate of territorial-disputes/CameroonNigeriaBorderDisputeManagementResolut-Lukong-2011-PalgraveMacmillan.pdf (shorter title (28 vs 45 chars))
rename-pub	african-history	CitizenSubjectColonialism-Mamdani-1996-Princeton-University-Press.pdf	african-history	CitizenSubjectColonialism-Mamdani-1996-PrincetonUP.pdf	publisher slug Princeton-University-Press -> PrincetonUP
rename-pub	african-history	ColonialismQuestionHistory-Cooper-2005-Berkeley.pdf	african-history	ColonialismQuestionHistory-Cooper-2005-BerkeleyUP.pdf	publisher slug Berkeley -> BerkeleyUP
rename-pub	african-history	DecolonizationInternationalLaw-Craven-2007-Oxford-University-Press.pdf	african-history	DecolonizationInternationalLaw-Craven-2007-OxfordUP.pdf	publisher slug Oxford-University-Press -> OxfordUP
stash-dupe	african-history	ImperialismSovereigntyInternationalLaw-Anghie-2005-Unknown.pdf	_stash-duplicates	ImperialismSovereigntyInternationalLaw-Anghie-2005-Unknown.pdf	duplicate of colonialism-slavery/ImperialismSovereigntyInternationalLaw-Anghie-2005-Cambridge-University-Press.pdf (loser-publisher=Unknown)
stash-dupe	african-history	ModernSomaliHistory-Lewis-2002-James-Currey.pdf	_stash-duplicates	ModernSomaliHistory-Lewis-2002-James-Currey.pdf	duplicate of african-history/ModernHistoryOfTheSomali-Lewis-2002-ITauris.pdf (shorter title (19 vs 24 chars))
rename-pub	african-history	NeitherSettlerNativeMinorities-Mamdani-2020-Harvard-University-Press.pdf	african-history	NeitherSettlerNativeMinorities-Mamdani-2020-HarvardUP.pdf	publisher slug Harvard-University-Press -> HarvardUP
rename-pub	african-history	OttomanScrambleAfrica-Minawi-2016-Stanford-University-Press.pdf	african-history	OttomanScrambleAfrica-Minawi-2016-StanfordUP.pdf	publisher slug Stanford-University-Press -> StanfordUP
stash-dupe	african-history	PostcolonialStateAfrica-Young-2012-Indiana-University-Press.pdf	_stash-duplicates	PostcolonialStateAfrica-Young-2012-Indiana-University-Press.pdf	duplicate of colonialism-slavery/PostcolonialStateAfricaIndependence-Young-2012-Indiana-UP.pdf (shorter title (23 vs 35 chars))
rename-pub	african-history	ScrambleForAfrica-Harlow-2003-Duke-University-Press.pdf	african-history	ScrambleForAfrica-Harlow-2003-DukeUP.pdf	publisher slug Duke-University-Press -> DukeUP
rename-pub	african-history	ScrambleForAfrica-Pakenham-1991-Random-House.pdf	african-history	ScrambleForAfrica-Pakenham-1991-RandomHouse.pdf	publisher slug Random-House -> RandomHouse
rename-pub	african-history	SomaliaSomalilandHistory-Lewis-2008-Indiana-University-Press.pdf	african-history	SomaliaSomalilandHistory-Lewis-2008-IndianaUP.pdf	publisher slug Indiana-University-Press -> IndianaUP
rename-pub	african-history	SomalilandHistory-Prunier-2021-Oxford-University-Press.pdf	african-history	SomalilandHistory-Prunier-2021-OxfordUP.pdf	publisher slug Oxford-University-Press -> OxfordUP
rename-pub	african-history	StatesPowerAfrica-Herbst-2014-Princeton-University-Press.pdf	african-history	StatesPowerAfrica-Herbst-2014-PrincetonUP.pdf	publisher slug Princeton-University-Press -> PrincetonUP
stash-dupe	colonialism-slavery	AbolitionHistorySlavery-Drescher-2009-OxfordUP.pdf	_stash-duplicates	AbolitionHistorySlavery-Drescher-2009-OxfordUP.pdf	duplicate of colonialism-slavery/AbolitionHistorySlaveryAntislavery-Drescher-2009-Oxford-UP.pdf (shorter title (23 vs 34 chars))
rename-pub	colonialism-slavery	AbolitionHistorySlaveryAntislavery-Drescher-2009-Oxford-UP.pdf	colonialism-slavery	AbolitionHistorySlaveryAntislavery-Drescher-2009-OxfordUP.pdf	publisher slug Oxford-UP -> OxfordUP
stash-dupe	colonialism-slavery	AbolitionHistorySlaveryAntislavery-Drescher-2009-OxfordUP.pdf	_stash-duplicates	AbolitionHistorySlaveryAntislavery-Drescher-2009-OxfordUP.pdf	duplicate of colonialism-slavery/AbolitionHistorySlaveryAntislavery-Drescher-2009-Oxford-UP.pdf (tied; lower score)
stash-dupe	colonialism-slavery	AfricasLastColonialCurrency-Pigeaud-2021-OxfordUP.pdf	_stash-duplicates	AfricasLastColonialCurrency-Pigeaud-2021-OxfordUP.pdf	duplicate of colonialism-slavery/AfricasLastColonialCurrencyCFA-Pigeaud-2021-Pluto-Press.pdf (shorter title (27 vs 30 chars))
rename-pub	colonialism-slavery	AfricasLastColonialCurrencyCFA-Pigeaud-2021-Pluto-Press.pdf	colonialism-slavery	AfricasLastColonialCurrencyCFA-Pigeaud-2021-PlutoPress.pdf	publisher slug Pluto-Press -> PlutoPress
stash-dupe	colonialism-slavery	AfterAbolition-Sherwood-2007-OxfordUP.pdf	_stash-duplicates	AfterAbolition-Sherwood-2007-OxfordUP.pdf	duplicate of colonialism-slavery/AfterAbolitionBritainSlaveTrade-Sherwood-2007-Liverpool-UP.pdf (shorter title (14 vs 31 chars))
