You are identifying correct publication metadata for academic library files.

For each file listed below, provide the correct YEAR and PUBLISHER.
Rules:
- Publisher = real academic publisher (NOT download source like ZLib, Libgen, AnnaArchive, z-library, 1lib)
- For primary source documents (treaties, acts, speeches, court decisions, government reports): publisher = issuing institution (e.g. "United Nations", "US Congress", "ICJ", "League of Nations")
- For journal articles: publisher = journal name (e.g. "Journal of African History")
- For books: publisher = academic press (e.g. "Oxford University Press", "Harvard University Press", "Cambridge University Press")
- If you cannot determine with high confidence: y="0000" and/or p="Unknown"
- Use your training knowledge and Google Search to verify

Return ONLY a JSON array (no markdown fences, no explanation):
[{{"f": "original_filename.pdf", "y": "YYYY", "p": "Publisher"}}]

Files (current known metadata: a=author, y=year, t=short_title):
a=Lewis y=0000 t=ModernSomaliHistory | A Modern History of Somali (I. M. LEWIS) (Z-Library).pdf
a=Cooper y=0000 t=AfricaPost1940History | Africa Since 1940_ The Past Of The Presentafrica Since 1940_ -- Frederick Cooper , Frederick Cooper, Frederick Cooper -- New approaches to -- 9780511800290 -- f927f21e57c01960185bbec5e7f9c8be -- Anna’s Archive.pdf
a=Cooper y=0000 t=AfricaPost1940History | Africa Since 1940- The Past Of The Presentafrica Since 1940- -- Frederick Cooper , Frederick Cooper, Frederick Cooper.pdf
a=Boahen y=0000 t=AfricanColonialismPerspectives | African perspectives on colonialism (Boahen, A. Adu) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Iliffe y=0000 t=AfricansContinentHistory | Africans The History of a Continent (John Iliffe) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Pigeaud y=0000 t=AfricaCFAFrancHistory | Africas Last Colonial Currency The CFA Franc Story (Fanny Pigeaud Ndongo Samba Sylla).pdf
a=Antil y=0000 t=AfricaFranceDiplomacySahel | Antil - Afrique; France; diplomatie; Françafrique; Sahel (n.d.).pdf
a=Harlow y=2003 t=ScrambleForAfrica | Archives of Empire, Volume 2) The Scramble for Africa (2003) (Barbara Harlow (ed.), Mia Carter (ed.)) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Forster y=0000 t=BerlinAfricaConference | Bismarck, Europe, and Africa - The Berlin Africa Conference 1884-1885 and the Onset of Partition; Stig Förster, Wolfgang Justin Mommsen, Ronald Edward Robinson_text.pdf
a=Unknown y=0000 t=CFAAgreements | Canvas - Cfa Agreements (n.d.) (1).pdf
a=Unknown y=0000 t=CFAAgreements | Canvas - Cfa Agreements (n.d.).pdf
a=Unknown y=0000 t=ProtectorateTreaties | Canvas - Protectorate Treaties (n.d.).pdf
a=Unknown y=0000 t=CFAAgreementsSahel | Cfa Agreements — Sahel (banque De France Documents & Monetary Policy Texts)-1.pdf
a=Mamdani y=0000 t=CitizenSubjectColonialism | Citizen and Subject Contemporary Africa and the Legacy of Late Colonialism (Mahmood Mamdani) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Ndlovu-Gatsheni y=0000 t=ColonialityPowerDecolonization | Coloniality of power in postcolonial Africa myths of decolonization (Ndlovu-Gatsheni, Sabelo J.).pdf
a=Unknown y=2024 t=ConflictedColonialismsSahel | Conflicted Colonialisms in Western Sahel (2024).pdf
a=Unknown y=0000 t=ConflictedColonialismsViolenceSahel | Conflicted colonialisms multi-dimensional violence in the Western Sahel.pdf
a=Thiongo y=0000 t=DecolonisingMindAfricanLiterature | Decolonising the Mind The Politics of Language in African Literature (Ngũgĩ wa Thiongo).pdf
a=Unknown y=0000 t=FrenchMaliInterventionFailure | Dis utilities of Force in a Postcolonial Context Explaining the Strategic Failure of the French-Led Intervention in Mali.pdf
a=Wesseling y=1996 t=PartitionAfricaHistory | Divide and rule _ the partition of Africa, 1880-1914 -- H_L_ Wesseling; translated by Arnold J_ Pomerans -- Westport, Conn, Connecticut, 1996 -- 9780275951375 -- f26c732459c439a94ec5109422a935bb -- Anna’s Archive.pdf
a=Engels y=2022 t=BurkinaFasoCoup | Engels2022TransitionnowAnothercoupdetatinBurkinaFaso.pdf
a=Ewans y=0000 t=LeopoldIICongoAtrocity | Ewans_-Sir-Martin-European-Atrocity_-African-Catastrophe_-Leopold-II_-the-Congo-Free-State-and-Its-A.pdf
a=Unknown y=0000 t=FrenchSahelInterventionism | French-interventionism-in-the-Sahel.pdf
a=Unknown y=1885 t=BerlinConferenceAct | General-Act-Berlin-Conference-1885.pdf
a=Unknown y=0000 t=SahelGovernanceInsurgency | Governance Fragility and Insurgency in the Sahel A Hybrid Political Order in the Making.pdf
a=Hertslet y=0000 t=AfricaMap | Hertslet-Map-of-Africa-Vol2.pdf
a=Hochschild y=2011 t=KingLeopoldsGhost | Hochschild_-Adam-King-Leopold_s-Ghost_-A-Story-of-Greed_-Terror-and-Heroism-in-Colonial-Africa-_2011.pdf
a=Idrissa y=0000 t=SahelCognitiveMapping | Idrissa - The Sahel A Cognitive Mapping (n.d.).pdf
a=Anghie y=0000 t=ImperialismInternationalLaw | Imperialism, Sovereignty and the Making of International Law (Antony Anghie) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Africanus y=0000 t=ChronographiaeFragments | Iulius Africanus Chronographiae The Extant Fragments (Iulius Africanus, Martin Wallraff (ed.)) (Z-Library).pdf
a=Maddy-Weitzman y=2011 t=BerberIdentityMovement | Maddy-Weitzman - The Berber Identity Movement and the Challenge to North African States (2011) (1).pdf
a=Maddy-Weitzman y=2011 t=BerberIdentityMovement | Maddy-Weitzman - The Berber Identity Movement and the Challenge to North African States (2011).pdf
a=Abdullahi y=0000 t=SomaliHistoryVolumeOne | Making Sense of Somali History (volume one). (Abdullahi, Abdurahman) (Z-Library).pdf
a=Abdullahi y=2018 t=SomaliHistoryVolumeTwo | MAKING SENSE OF SOMALI HISTORY_ (Volume Two) -- Abdurahman Abdullahi (Baadiyow) -- London, United Kingdom, 2018 -- Adonis & Abbey Publishers Limited -- 9781909112797 -- 825c8f7af6a27bf9b5519e28327da241 -- Anna’s Archive.pdf
a=Michalopoulos y=2016 t=ScrambleForAfricaEffects | michalopoulos-papaioannou-2016-the-long-run-effects-of-the-scramble-for-africa.pdf
a=Morel y=1904 t=KingLeopoldsRule | Morel-King-Leopolds-Rule-1904.pdf
a=Ndlovu-Gatsheni y=2013 t=ColonialityPowerPostcolonialAfrica | Ndlovu-Gatsheni - Coloniality of Power in Postcolonial Africa (2013).pdf
a=Mamdani y=0000 t=NeitherSettlerNativeMinorities | Neither Settler nor Native The Making and Unmaking of Permanent Minorities (Mahmood Mamdani) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Pakenham y=0000 t=ScrambleForAfrica | Pakenham_-Thomas-Scramble-for-Africa-libgen.li.pdf
a=Unknown y=0000 t=MaliNigerProtectorateTreaties | Protectorate Treaties — Mali (samory), Niger, Upper Volta (pdfs + Plain-text).pdf
a=Omar y=0000 t=SomaliaPastPresent | Somalia. Past and Present (Mohamed Osman Omar) (Z-Library).pdf
a=Herbst y=0000 t=StatesPowerAfrica | States and Power in Africa Comparative Lessons in Authority and Control - Second Edition (Jeffrey Herbst Jeffrey Herbst) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Baddour y=1960 t=SudaneseEgyptianRelations | sudanese-egyptian relations -- abd el-fattah ibrahim el-sayed baddour -- 1960 -- martinusnijhoff -- 89ed399d48f1a341257f26c5e1877716 -- Anna’s Archive.pdf
