You are identifying correct publication metadata for academic library files.

For each file listed below, provide the correct YEAR and PUBLISHER.
Rules:
- Publisher = real academic publisher (NOT download source like ZLib, Libgen, AnnaArchive, z-library, 1lib)
- For primary source documents (treaties, acts, speeches, court decisions, government reports): publisher = issuing institution (e.g. "United Nations", "US Congress", "ICJ", "League of Nations")
- For journal articles: publisher = journal name (e.g. "Journal of African History")
- For books: publisher = academic press (e.g. "Oxford University Press", "Harvard University Press", "Cambridge University Press")
- If you cannot determine with high confidence: y="0000" and/or p="Unknown"
- Use your training knowledge and Google Search to verify

Return ONLY a JSON array (no markdown fences, no explanation):
[{{"f": "original_filename.pdf", "y": "YYYY", "p": "Publisher"}}]

Files (current known metadata: a=author, y=year, t=short_title):
a=Unknown y=0000 t=AnitaShapiraIsraelHistory | [The Schusterman Series in Israel Studies] Anita Shapira - Israel- A History (2012, Brandeis).pdf
a=Unknown y=1914 t=LineSandAngloFrenchStruggleMiddleEast19141948 | A line in the sand the Anglo-French struggle for the Middle East, 1914-1948 (James Barr).pdf
a=Unknown y=0000 t=SocialRevolutionPoliticsWelfareStateIranZLibrary | A Social Revolution Politics and the Welfare State in Iran (Kevan Harris) (Z-Library).pdf
a=Kinzer y=0000 t=AllShahsMenAmericanCoupRootsMiddleEastTerrorZLibrary | All the Shahs Men - An American Coup and the Roots of Middle East Terror (Wiley, 2003) (Stephen Kinzer) (Z-Library).pdf
a=Barr y=2011 t=LineSand | Barr - A Line in the Sand (2011).pdf
a=Unknown y=0000 t=BazaarStateIranPoliticsTehranMarketplaceZLibrary | Bazaar and State in Iran The Politics of the Tehran Marketplace (Arang Keshavarzian) (Z-Library).pdf
a=Unknown y=1953 t=Behind1953CoupIranThugsTurncoatsSoldiersSpooksZLibrary | Behind the 1953 Coup in Iran Thugs, Turncoats, Soldiers, and Spooks (Ali Rahnema) (Z-Library).pdf
a=Chomsky y=1999 t=FatefulTriangleIsraelPalestine | Chomsky - Fateful Triangle US Israel Palestine (1999).pdf
a=Chomsky y=1983 t=FatefulTriangleIsraelPalestinians | Chomsky - Fateful Triangle US Israel Palestinians (1983).pdf
a=Unknown y=1981 t=CountercoupStruggleControlIranRooseveltKermitMcgrawHillPaperbacksPoliticalScienceNewYork1981McgrawHill97800705359093fb44404676045763be875b6f0b61ad1AnnaSArchive | Countercoup _ the struggle for the control of Iran -- Roosevelt, Kermit -- McGraw-Hill paperbacks_ Political science, New York, 1981 -- McGraw Hill -- 9780070535909 -- 3fb44404676045763be875b6f0b61ad1 -- Anna’s Archive.pdf
a=Unknown y=0000 t=UnknownTitle | crane2020.pdf
a=Dershowitz y=2011 t=CaseIsrael | Dershowitz - The Case for Israel (2011).pdf
a=Unknown y=0000 t=UnknownTitle | Dialnet-UnSigloDeLaDeclaracionBalfourUnaAproximacionHeuris-6361707.pdf
a=Chaudhry y=0000 t=DomesticViolenceIslamicTradition | Domestic Violence and the Islamic Tradition (Ayesha S. Chaudhry) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Doumani y=1995 t=RediscoveringPalestine | Doumani - Rediscovering Palestine (1995).pdf
a=mercantilism y=1550 t=15501750JonathanIrvineIsraelOxfordNewYorkEngland1985OxfordClarendonPressNew9780198219286Eee01a986140704f2815f683e26eaeb0AnnaSArchive | European Jewry in the age of mercantilism - 1550-1750 -- Jonathan Irvine Israel -- Oxford, New York, England, 1985 -- Oxford- Clarendon Press ; New -- 9780198219286 -- eee01a986140704f2815f683e26eaeb0 -- Anna’s Archive.pdf
a=Unknown y=0000 t=FatefulTriangleUnitedStatesIsraelPalestiniansNoamChomskyZLibrary | Fateful-Triangle-The-United-States--Israel--and-the-Palestinians--Noam-Chomsky---Z-Library-.pdf
a=Finkelstein y=2016 t=ImageRealityIsraelPalestineConflict | Finkelstein - Image and Reality Israel-Palestine Conflict (2016).pdf
a=Finkelstein y=2003 t=ImageRealityIsraelPalestineConflict | Finkelstein - Image and Reality of the Israel-Palestine Conflict (2003).pdf
a=Unknown y=2016 t=FinkelsteinNormanImageRealityIsraelPalestineConflict2016VersoBooksLibgen | Finkelstein--Norman-Image-and-Reality-of-the-Israel-Palestine-Conflict--2016--Verso-Books--libgen.pdf
a=Golan y=0000 t=SovietUnionPalestineLiberationOrganizationUneasyAlliance | Galia Golan - The Soviet Union And The Palestine Liberation Organization- An Uneasy Alliance (1980, Praeger).pdf
a=Geissinger y=0000 t=GenderMuslimConstructionsExegeticalAuthority101163978004294448LibgenLi | Geissinger, Aisha - Gender and Muslim Constructions of Exegetical Authority __ (2015, BRILL) [10.1163_978004294448] - libgen.li.pdf
a=Goçek y=2014 t=DenialViolenceArmenianGenocide | Goçek - Denial of Violence Armenian Genocide (2014).pdf
a=Golan y=1990 t=SovietPoliciesMiddleEast | Golan - Soviet Policies in Middle East (1990).pdf
a=Golan y=1980 t=SovietUnionPlo | Golan - Soviet Union and PLO (1980).pdf
a=History y=0000 t=CyprusOttomansKissingerChristopherHitchens | Hostage to History - Cyprus from the Ottomans to Kissinger -- Christopher Hitchens.pdf
a=Kennedy y=0000 t=GreatArabConquestsSpreadIslamChangedWorldLive | Hugh Kennedy - The Great Arab Conquests- How the Spread of Islam Changed the World We Live In (2008, Da Capo Press).pdf
a=Pappe y=0000 t=EthnicCleansingPalestine | Ilan Pappe - The Ethnic Cleansing of Palestine (2006, Oneworld).pdf
a=Unknown y=0000 t=IranBetweenTwoRevolutionsZLibrary | Iran Between Two Revolutions (Eric Davis Ervand Abrahamian) (Z-Library).pdf
a=Unknown y=0000 t=UnknownTitle | isbn_9780739478189 (Unknown) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=(editor) y=0000 t=IslamicInterpretiveTraditionGenderJusticeProcessesCanonizationSubversionChange | Islamic Interpretive Tradition and Gender Justice Processes of Canonization Subversion and Change (Nevin Reda (editor) Yasmin Amin (editor)) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Israel y=2015 t=HistoryAnitaShapiraAnthonyBerrisWNPaperbackPaperbackEditionLondon2015WeidenfeldNicolson9781780227399675a2a02dfdf24bad435035d17c30848AnnaSArchive | Israel - a history -- Anita Shapira; Anthony Berris -- W & N paperback, Paperback edition, London, 2015 -- Weidenfeld & Nicolson -- 9781780227399 -- 675a2a02dfdf24bad435035d17c30848 -- Anna’s Archive.pdf
a=Kagan y=0000 t=ModernIran10129879780300194739LibgenLi | Jerome Kagan - Modern Iran (2018, Yale University Press) [10.12987_9780300194739] - libgen.li.pdf
a=Unknown y=0000 t=UnknownTitle | Journal_of_the_Executive_Proceedings_of - converted.pdf
a=Unknown y=0000 t=UnknownTitle | Journal_of_the_Executive_Proceedings_of.pdf
a=Stein y=1917 t=LandQuestionPalestine19171939 | Kenneth W. Stein - The Land Question in Palestine, 1917-1939 (1987, The University of North Carolina Press).pdf
a=Unknown y=0000 t=UnknownTitle | Lines-Drawn-on-an-Empty-Map-Iraq-s-Borde.pdf
a=Byrne y=2014 t=IranContraReagansScandalUncheckedAbusePresidentialPower | Malcolm Byrne - Iran-Contra_ Reagan's Scandal and the Unchecked Abuse of Presidential Power (2014, University Press of Kansas) - libgen.li.pdf
a=Vickers y=0000 t=BetweenSerbAlbanianHistoryKosovo | Miranda Vickers - Between Serb and Albanian- A History of Kosovo (1998, Columbia University Press).pdf
a=Unknown y=1953 t=MohammadMosaddeq1953CoupIranZLibrary | Mohammad Mosaddeq and the 1953 Coup in Iran (Mark J. Gasiorowski and Malcolm Byrne (eds.)) (Z-Library).pdf
a=Morris y=2004 t=BirthPalestinianRefugeeProblem | Morris - Birth of Palestinian Refugee Problem (2004).pdf
a=Majul y=0000 t=MuslimsPhilippines | Muslims in the Philippines (Cesar A. Majul) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Cohn y=0000 t=WarrantGenocideMythJewishWorldConspiracyProtocolsEldersZion | Norman Cohn - Warrant for Genocide- The Myth of the Jewish World Conspiracy and the Protocols of the Elders of Zion (2005, Serif).pdf
a=Hallaq y=0000 t=OriginsEvolutionIslamicLaw | Origins and Evolution of Islamic Law (Wael B. Hallaq) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Palestine y=0000 t=RediscoveringPalestine | Palestine - Rediscovering Palestine (n.d.).pdf
a=Pappe y=2006 t=EthnicCleansingPalestine | Pappe - The Ethnic Cleansing of Palestine (2006).pdf
a=Pappé y=2011 t=EthnicCleansingPalestine | Pappé - The Ethnic Cleansing of Palestine (2011).pdf
a=Wadud y=0000 t=QuranWomanRereadingSacredTextWomansPerspective | Quran and Woman Rereading the Sacred Text from a Womans Perspective (Amina Wadud) (z-library.sk, 1lib.sk, z-lib.sk).pdf
a=Unknown y=2011 t=RoutledgeRevivalsFrancescoGabrieliArabHistoriansCrusades2011RoutledgeLibgenLi | Routledge-Revivals--Francesco-Gabrieli-Arab-Historians-of-the-Crusades--2011--Routledge--libgen.li.pdf
a=Said y=2015 t=QuestionPalestine | Said - The Question of Palestine (2015).pdf
a=Sayigh y=1997 t=ArmedStruggleSearchStatePalestinianMovement | Sayigh - Armed Struggle and Search for State Palestinian Movement (1997).pdf
a=Schneer y=2010 t=BalfourDeclaration | Schneer - The Balfour Declaration (2010).pdf
a=Shlaim y=1997 t=ColdWarMiddleEast | Shlaim - Cold War and Middle East (1997).pdf
a=Smith y=2020 t=PalestineArabIsraeliConflict | Smith - Palestine and the Arab-Israeli Conflict (2020).pdf
a=Smith y=0000 t=PalestineArabIsraeliConflict | Smith, Charles D - Palestine and the Arab-Israeli Conflict (2016, Bedford-St. Martin's).pdf
a=Stein y=1987 t=LandQuestionPalestine19171939 | Stein - Land Question in Palestine 1917-1939 (1987).pdf
a=Stillman y=1979 t=JewsArabLands | Stillman - The Jews of Arab Lands (1979).pdf
a=Unknown y=2018 t=TalatPashasTelegramsArmenianGenocideKillingOrders | Talat-Pashas Telegrams Armenian Genocide Killing Orders (2018).pdf
a=Akçam y=0000 t=YoungTurksCrimeAgainstHumanityArmenianGenocideEthnicCleansingOttomanEmpire | Taner Akçam - The Young Turks' Crime Against Humanity- The Armenian Genocide and Ethnic Cleansing in the Ottoman Empire (2012, PrincetonUP).pdf
a=Lambert y=0000 t=BarbaryWarsAmericanIndependenceAtlanticWorld | The Barbary Wars American Independence in the Atlantic World (Frank Lambert) (z-library.sk, 1lib.sk, z-lib.sk).epub
a=Lambert y=0000 t=BarbaryWarsAmericanIndependenceAtlanticWorld | The Barbary wars American independence in the Atlantic world (Lambert, Frank, 1943-) (z-library.sk, 1lib.sk, z-lib.sk).pdf
