You will receive a numbered list of academic books with KNOWN author, year, and title slug. Your job: identify the PUBLISHER using your training knowledge.

OUTPUT FORMAT: JSON array, NO markdown fences, JSON only.
[{"i":N,"p":"PublisherAbbrev"}]

PUBLISHER ABBREVIATIONS (use these — match closest):
CambridgeUP, OxfordUP, YaleUP, PrincetonUP, ColumbiaUP, IndianaUP, EdinburghUP, NYUPress, UCPress (= UC Press), UCLAUP, UNCPress, JohnsHopkinsUP, HooverPress, PlutoPress, Routledge, Palgrave, PalgraveMacmillan, Bloomsbury, ITauris (= I.B.Tauris), HurstCo (= Hurst), ZedBooks, VersoBooks, BasicBooks, RandomHouse, Penguin, Brill, Springer, DaCapo, FreePress, Granta, WeidenfeldNicolson, CornellUP, StanfordUP, HarvardUP, LiverpoolUP, MacmillanUK, NortonCo, ChicagoUP, MITPress, WileyBlackwell, SAGEPub, TaylorFrancis, Greenwood, Lexington, Brookings, RFFPress, AsiaSocietyPress, CUNYPress, OneWorldPubs, NewPress, ZED, OUPIndia

If you don't know with reasonable confidence, output "Unknown".

ENTRIES (i. title | author | year):

1. Abolition | Drescher | 2009
2. AbolitionHistorySlavery | Drescher | 2009
3. AbolitionHistorySlaveryAntislavery | Drescher | 2009
4. AfricasLastColonialCurrency | Pigeaud | 2021
5. AfterAbolition | Sherwood | 2007
6. AfterAbolitionBritainSlaveTrade | Sherwood | 2007
7. AmericanHolocaust | Stannard | 1992
8. AndeanWorldsSpanishRule | Andrien | 2001
9. AwakeningAshesHaitianRevolution | Daut | 2019
10. BlackLegendAntiSpanishAttitudes | Gibson | 1971
11. BookGodsRitesAncientCalendar | Duran | 1971
12. BusinessAbolishingBritishSlaveTrade | Jennings | 1997
13. BusinessAbolishingBritishSlaveTrade | Jennings | 2013
14. CacicasIndigenousWomenLeaders | Ochoa | 2018
15. CambodiaCultivationNation | Edwards | 2007
16. ChristianSlavesMuslimMastersSlavery | Davis | 2010
17. CitizenshipBetweenEmpireNation | Cooper | 2014
18. ConquestAmerica | Todorov | 1984
19. DecolonisingMind | Thiongo | 1986
20. DemographicCollapseIndianPeru | Cook | 1981
21. EmpiresAtlanticWorld | Elliott | 2006
22. EmpiresWorkshopLatinAmerica | Grandin | 2007
23. Empireworld | Sanghera | 2024
24. EmpireworldBritishImperialismGlobe | Sanghera | 2021
25. EndEmpireFrenchWestAfrica | Chafer | 2002
26. FormationColonialSociety | Bolland | 1977
27. GuamanPomaWritingResistance | Adorno | 2000
28. HistoryIncaRealm | Rostworowski | 1999
29. InhumanBondageRiseFallSlavery | Davis | 2006
30. MappingMississippianShatterZone | Ethridge | 2009
31. OtherSlavery | Reséndez | 2016
32. OtherSlaveryIndianEnslavement | Reséndez | 2016
33. OurTimeRaceModernityGuatemala | Gibbings | 2020
34. PeruIndianPeoplesSpanishConquest | Stern | 1982
35. PostcolonialStateAfrica | Young | 2012
36. PredatoryStatesOperationCondor | McSherry | 2005
37. RereadingBlackLegendReligious | Greer | 2008
38. UnderCopeHeavenReligionPolitics | Bonomi | 2003
39. UnitedStatesDecolonizationWestAfrica | Nwaubani | 2001
