action	conf	current_folder	new_folder	current_filename	new_filename	rationale
move	high	general-history	reference-methodology	DigestLawEvidence-Roscoe-0000-Unknown.pdf	DigestLawEvidence-Roscoe-0000-Unknown.pdf	Recognizable legal text by named author.
move	high	general-history	reference-methodology	EnglishCompositionIntroduction-Edwards-0000-Unknown.pdf	EnglishCompositionIntroduction-Edwards-0000-Unknown.pdf	Academic text by named author.
move	high	general-history	reference-methodology	NaturalRightsLaw-Tierney-0000-Emory.pdf	NaturalRightsLaw-Tierney-0000-Emory.pdf	Academic title by named author from Emory.
move	high	general-history	reference-methodology	WalterSinnottArmstrong-Sinnott-Armstrong-0000-Unknown.pdf	WalterSinnottArmstrong-Sinnott-Armstrong-0000-Unknown.pdf	Academic author (Walter Sinnott-Armstrong).
move	high	territorial-disputes	general-history	ConstitutionOfHonduras-Unknown-1982-Unknown.pdf	ConstitutionOfHonduras-Unknown-1982-Unknown.pdf	Primary legal document (Constitution).
move+rename	high	general-history	african-history	AcademicArticle-Unknown-2021-Cambridge-University-Press.pdf	SahelChallengesAndOpportunities-Dieng-2021-Unknown.pdf	Academic article in International Review of the Red Cross (2021), Adama Dieng author.
move+rename	high	general-history	african-history	CurrencyDevaluationSourceGrowth-Bouvet-0000-Springer.pdf	CurrencyDevaluationSourceGrowthAfrica-Bouvet-2022-Springer.pdf	Academic article in Eastern Economic Journal (2022) by Florence Bouvet, published by Springer.
move+rename	high	general-history	african-history	FranceCommonDenominatorBehindAfricasCoup-Unknown-2023-Unknown.pdf	FranceCommonDenominatorBehindAfricasCoup-Usman-2023-LSE.pdf	Academic article from LSE blog, 'Africa at LSE', discusses coups in Africa, 2023.
move+rename	high	general-history	african-history	FrenchMilitaryIntervention-Unknown-2014-Unknown.pdf	FrenchMilitaryInterventionRwanda-Unknown-2014-FondationPierreDuBois.pdf	Article on French military intervention in Africa, specifically Rwanda, published by Fondation Pierre du Bois in 2014.
move+rename	high	general-history	middle-east-history	HarlotsOfHadramaut-Unknown-1942-Unknown.pdf	SoCalledHarlotsOfHadramaut-Beeston-1942-Unknown.pdf	Academic article 'The So-called Harlots of Hadramaut' by A. F. L. Beeston, references Edition Haidarabad 1942.
move+rename	high	general-history	colonialism-slavery	HispanicAmericanHistoricalReview-Unknown-2015-DukeUP.pdf	BlackLegendRevisitedAssumptionsAndRealities-Keen-1969-DukeUP.pdf	Academic article in Hispanic American Historical Review (1969) by Benjamin Keen, published by Duke University Press.
move+rename	medium	general-history	reference-methodology	HistoriansIndividualAgency-Berber-0000-Unknown.pdf	HistoriansIndividualAgency-Bevernage-0000-Unknown.pdf	Reader for a theoretical history course, lists Prof. Dr. Berber Bevernage as 'Vakgroep Geschiedenis'.
move+rename	medium	general-history	african-history	IntroductionToTheBerbersOfTheMaghrib-Unknown-0000-Unknown.pdf	IntroductionToBerbersOfTheMaghrib-Unknown-0000-Unknown.pdf	Book chapter 'Introduction To The Berbers Of The Maghrib', discusses historical naming and identity of Berbers.
move+rename	high	general-history	colonialism-slavery	JournalOfEconomicHistory-Unknown-2021-CambridgeUP.pdf	ColonialMitaCausePopulationCollapsePeru-Carpio-2021-CambridgeUniversityPress.pdf	Academic article in The Journal of Economic History (2021) by Miguel Angel Carpio.
move+rename	high	general-history	middle-east-history	KillingOrders-Genocide-0000-Unknown.pdf	KillingOrdersTalatPashaArmenianGenocide-Akcam-0000-Palgrave.pdf	OCR: 'Killing Orders: Talat Pasha's Telegrams and the Armenian Genocide' by Taner Akcam, Palgrave Studies in the History of Genocide
move+rename	high	general-history	colonialism-slavery	MiscellaneousWorksRemains-Hall-0000-Unknown.pdf	BodyConquistadorFoodRaceSpanishAmerica14921700-Earle-0000-CUP.pdf	OCR: 'The Body of the Conquistador: Food, Race and the Colonial Experience in Spanish America, 1492-1700' by Rebecca Earle, Cambridge Critical Perspectives on Empire. Filename was completely wrong (MiscellaneousWorksRemains-Hall).
move+rename	high	general-history	territorial-disputes	MoroccanKingSahara-Unknown-2025-Unknown.pdf	MoroccanKingWantsWesternSaharaWithoutPeople-Hernandez-2025-TaylorFrancisGroup.pdf	Academic article in Settler Colonial Studies (2025) by M. Padrón Hernández.
move+rename	high	general-history	territorial-disputes	PavinDOI-Chachavalpongpun-0000-Unknown.pdf	ThaiCambodianConflictFailureASEANDSR-Chachavalpongpun-2013-InstitutePeaceUnificationStudies.pdf	Academic article in Asian Journal of Peacebuilding (2013) by Pavin Chachavalpongpun.
move+rename	high	general-history	territorial-disputes	PreahVihearConflictGuide-Kasetsiri-0000-Unknown.pdf	GuideThaiCambodianConflictSolutions-Kasetsiri-0000-WhiteLotus.pdf	Book 'A Guide to the Thai-Cambodian Conflict and Its Solutions' by Charnvit Kasetsiri et al.
move+rename	high	general-history	colonialism-slavery	RecopilaciNDeLeyesDeLosReinosDeLasIndias-Unknown-1681-ImprentaLibreriaCarretas.pdf	RecopilacionLeyesReinosIndias-Unknown-1681-ImprentaLibreriaCarretas.pdf	Historical legal compilation 'Recopilacion De Leyes De Los Reinos De Las Indias', Imprenta Y Libreria De J. A. Carretas, 1681 edition mentioned.
move+rename	high	general-history	territorial-disputes	RevistaCubanaDeDerecho-Unknown-1993-Unknown.pdf	ICJJurisdictionArbitralAwardGuyanaVenezuela-Triana-2023-RevistaCubanaDeDerecho.pdf	Academic article in Revista Cubana de Derecho (2023) by Harold Bertot Triana, on ICJ ruling re: Guyana/Venezuela.
move+rename	high	general-history	territorial-disputes	TropicalConservationScience-Unknown-2009-SAGEPub.pdf	BelizeGuatemalaTerritorialDisputeConservation-Perez-2009-SAGEPub.pdf	Academic article in Tropical Conservation Science (2009) by Arlenie Perez et al., published by SAGE Publishing.
move+rename	medium	general-history	crusades-christianity	TrueReligionNikolaj-Unknown-0000-Unknown.pdf	OutbreakReformationScandinavia-Unknown-0000-Unknown.pdf	OCR: Chapter II 'Outbreak of the Reformation in Scandinavia' from a Christianity/Reformation history work.
move+rename	medium	general-history	colonialism-slavery	Unknown-Unknown-0000-Unknown.pdf	MissionToCivilize-Conklin-0000-Unknown.pdf	OCR title-page: 'A Mission to Civilize'. Likely Alice Conklin's 'A Mission to Civilize: The Republican Idea of Empire in France and West Africa, 1895-1930' (Stanford UP, 1997). Page 1 was just the title.
move+rename	high	general-history	territorial-disputes	Unknown-Unknown-1949-Unknown.pdf	QuestionBoundariesVenezuelaBritishGuiana-UnitedNations-1962-UnitedNations.pdf	Official UN record from 1962, Special Political Committee meeting, regarding Venezuela/British Guiana boundary.
