Bulk YEAR + PUBLISHER lookup for academic books. For each entry below, identify the publication year (and publisher if the entry shows publisher=Unknown).

OUTPUT: JSON array, NO markdown fences.
[{"i":N,"y":"YYYY","p":"PublisherAbbrev"}]

PUBLISHER ABBREVIATIONS: CambridgeUP, OxfordUP, YaleUP, PrincetonUP, ColumbiaUP, IndianaUP, EdinburghUP, NYUPress, UCPress, UCLAUP, UNCPress, JohnsHopkinsUP, HooverPress, PlutoPress, Routledge, Palgrave, PalgraveMacmillan, Bloomsbury, ITauris, HurstCo, ZedBooks, VersoBooks, BasicBooks, RandomHouse, Penguin, Brill, Springer, DaCapo, FreePress, Granta, WeidenfeldNicolson, CornellUP, StanfordUP, HarvardUP, LiverpoolUP, MacmillanUK, NortonCo, ChicagoUP, MITPress, WileyBlackwell, NewPress

If the entry already shows a publisher, keep it (echo it back); only fix if pub=Unknown.
If you cannot identify year confidently, output "0000". If publisher unknown, output "Unknown".

ENTRIES (i. title | author | current_pub):

1. AfricanColonialismPerspectives | Boahen | ZLib
2. AfricasLastColonialCurrency | Pigeaud | Unknown
3. ColonialityOfPowerPostcolonialAfrica | Ndlovu | Unknown
4. ImperialismSovereigntyInternationalLaw | Anghie | Unknown
5. SahelCognitiveMapping | Idrissa | Unknown
6. AmericanIndianWesternLegalThought | Williams | Unknown
7. BornToDieDiseaseNewWorldConquest | Cook | CambridgeUP
8. ColonyNewNetherlandDutch | Jacobs | Unknown
9. FirstManhattanIndiansMewYork | Grumet | Unknown
10. GenealogicalFictionsLimpiezaSangre | Martínez | Unknown
11. HistoryNewNetherlandDutch | OCallaghan | Unknown
12. HistoryPortugalPortugueseEmpire | Disney | Unknown
13. HowIncasBuiltHeartlandImperialStrategy | Covey | Unknown
14. LenapeCountryDelawareValley | Soderlund | Unknown
15. LenapeDelawareIndiansPeople | Kraft | Unknown
16. LordsOfAllWorldIdeologiesEmpire | Pagden | Unknown
17. NarrativesNewNetherland | Jameson | Unknown
18. PiratesBarbaryCorsairsCaptivity | Tinniswood | Unknown
19. PopesLawyersInfidelsChurch | Muldoon | Unknown
20. PortugueseSeaborneEmpire | Boxer | Unknown
21. StateTerrorismLatinAmerica | Wright | AnnaArchive
22. 1491 | Mann | Libgen
23. AdmittedOmarÁlvarez | Salas | Unknown
24. AnatomyAuschwitzDeathCamp | Gutman | Unknown
25. AnnualReportDocumentsNewYorkInstitution | Dumb | Unknown
