Date,Content,Video title,Video publish time,Duration,Views
2024-11-06,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-07,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-08,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-09,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-10,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-11,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-12,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-13,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-14,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-15,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-16,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-17,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-18,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-19,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-20,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-21,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-22,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-23,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-24,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-25,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-26,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-27,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-28,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-29,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-11-30,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-01,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-02,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-03,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-04,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-05,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-06,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-07,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-08,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-09,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
2024-12-10,Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,0
