Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,82649,590.8404,169,170465,3.27
oDK52GwjTIo,Venezuela vs Guyana: The Oil War Over Essequibo,"Oct 19, 2025",633,1905,115.3898,19,35117,4.31
PpzCZrR9ILM,The Truth Behind The Island Dispute Revealed #history,"Aug 29, 2025",66,1854,14.8999,0,321,2.18
Eyyrf2AmXMo,How Japan Changed Taiwan Forever! #history #historicalmyths,"Aug 24, 2025",44,1701,9.2364,2,534,1.69
FVxZ8guCJY8,How One Decision by Stalin Changed the Course of History Forever,"Jul 23, 2025",33,1445,2.9266,1,3530,0.79
k_KCCS8gSKw,The Tragic History of Crimea and the Tatar People,"Jul 12, 2025",58,1341,7.6706,2,4017,2.54
3BL8GfFaXHM,Genocide or Not? The Truth Behind the Headlines,"Jul 31, 2025",74,1172,3.6348,2,90,4.44
XTChXAFtzK4,Why MILLIONS Are Burning French Flags Across Africa Right Now,"Oct 5, 2025",40,1143,2.0683,2,273,4.03
bVOXrud_dps,How Millions Lost Everything in One Year,"Jul 21, 2025",76,1098,4.7448,1,484,0.83
S-DUxpSRxwA,How Columbus Invented The Cannibal Myth,"Oct 11, 2025",32,1049,2.267,0,907,1.87
ZSp1wgdXvN8,The REAL Reason Open Trade Saved Billions After WWII,"Aug 11, 2025",32,1044,1.617,0,63,0
JJD1-OQ-t0c,195 Wars Are Happening Because of Maps Drawn 100+ Years Ago,"Oct 6, 2025",44,1039,1.6572,0,190,0
YArBl8_p3Dw,Georgia: The War That Russia Didn't Want,"Jul 17, 2025",37,1033,3.0763,0,576,1.74
wMdIuE9rlIw,What REALLY Decided Greece's Original Borders? #history,"Sep 3, 2025",66,1021,3.6318,1,965,5.18
2Vxf9QGlDhk,The Inca Built Better Than We Do Today,"Oct 15, 2025",45,991,3.0338,0,107,0.93
Z6-kjb40azc,How Turkey Uses Power To Silence History #history,"Sep 3, 2025",80,988,2.5661,0,168,0.6
W3QBXAzRY0o,The Identity Crisis Behind the Ukraine War,"Jul 14, 2025",58,950,3.7906,3,1212,1.32
MxTvZqygaF4,The Surprising Truth About Greek Islands and the Ottomans #history,"Aug 31, 2025",42,941,2.4086,1,623,2.09
LO_fUeX9IEQ,JD Vance Claims Christians Found Child Sacrifice. Here's the Evidence.,"Nov 4, 2025",376,936,24.8561,12,7055,11.21
bQT0qIDogEo,The Surprising Economics of Tariffs,"Aug 9, 2025",38,926,1.8227,0,207,0.48
ROtjeI0_v5M,The Surprising Story Behind Palestine’s Name! #history,"Aug 1, 2025",67,918,4.6814,2,157,5.73
LUKMOc4L9OQ,How a 1936 Arab Revolt Changed the Course of History Forever,"Sep 30, 2025",34,901,2.6769,0,739,2.3
_N_08zn95FY,Why TURKEY and GREECE Can't Agree on these islands.,"Aug 27, 2025",548,901,53.0333,12,20994,3.1
miLs-EtBYQI,Why Are Indigenous Peoples Disappearing?,"Sep 19, 2025",43,897,1.6307,0,45,4.44
HEJTHV5cR9I,Why Did Greece Get These Islands? #history,"Sep 3, 2025",48,886,2.1799,0,355,2.25
AqLB7CB9QtE,The Surprising Truth About Foreign Intervention! #history,"Jul 27, 2025",39,872,1.3676,0,109,0
Z5l9vXPrKoU,This 1908 Map Killed 38 People in 2025. Here's Why It Still Exists.,"Oct 5, 2025",56,842,2.0284,2,105,0
kqtjxF9oa0M,Why Did Everyone Ignore These Documents?,"Sep 4, 2025",35,842,1.2357,0,97,1.03
t7gXy1Av0AM,Why Belize Disappears From Guatemala Maps,"Oct 29, 2025",41,838,2.975,0,257,2.33
yy29nd_OR2U,Why Is Kosovo So Important to Serbia? #history,"Sep 23, 2025",51,826,2.9168,0,417,1.92
VOd4Z-rJUuc,What Really Started the Ukraine War? #news #history,"Sep 15, 2025",47,809,2.2185,0,88,2.27
16ezu0uJrYw,The SHOCKING Truth About Historical Misconceptions,"Sep 13, 2025",44,803,1.5746,0,42,0
pnZyoHBFye8,4 Common Tactics Used to Manipulate History and Control Narratives #history,"Sep 11, 2025",39,800,1.7981,0,165,1.21
KK8fRhUucpM,Why Did Russia Work With NATO? #history,"Sep 12, 2025",54,799,2.9665,0,78,2.56
hIHT7KsWdL8,The Shocking Truth About Myths Surrounding the Middle East,"Jul 25, 2025",39,793,2.2131,1,134,2.99
h0PKIqQ5sOo,Did the SMOOTH HAWLEY Act's HIGH TARIFFS KILL US Jobs?,"Aug 10, 2025",25,778,1.5349,0,53,0
k45xN7ST5GA,The Truth Behind NATO's Promises to Russia (Declassified Documents),"Sep 17, 2025",44,776,1.4863,0,79,3.8
nkYw3XVSpo4,Venezuela and the US Face Off Over Oil!,"Oct 23, 2025",40,775,1.9779,0,102,2.94
XyeB1N-ByG4,The Truth Behind 5 Famous History Myths! #history,"Aug 2, 2025",34,769,1.767,1,111,0.9
suap8k2qYfg,Did Vikings Really Have Warrior Queens Like Lagertha?,"Oct 26, 2025",52,748,2.7637,0,91,0
6khWPheZD0o,How the KGB Created A Palestinian Leader,"Sep 25, 2025",41,743,2.1312,0,263,3.8
MbXpal_mP5I,The Gamble That Destroyed Greece's Dream #history,"Sep 1, 2025",87,740,3.4896,1,372,0.81
POhzZhAm1aY,KGB’s Hidden Agent Inside the PFLP Revealed,"Sep 28, 2025",42,740,2.0355,3,708,2.68
mes8OwxM5Uk,Why International Law Failed Sahrawis,"Oct 19, 2025",32,737,1.9114,1,229,2.18
TALZCctOWJY,Armenia's Surprising Statement Shocks Everyone! #history,"Sep 5, 2025",40,735,1.8439,0,228,4.39
pnHYUy5e2c0,The Truth Behind Putin's NATO Promise Myth #history,"Sep 16, 2025",56,730,2.4747,0,122,4.1
9k0NVqUOzRU,The Genocide No One Talks About!,"Sep 16, 2025",45,727,4.4902,2,412,3.88
yldSIwVsepk,The SECRET DANGER of Relying on Isolation for Power #history,"Aug 12, 2025",19,724,1.1435,1,98,0
qSUDkG9ppiw,Did Viking Women Really Fight Like Warriors?,"Oct 27, 2025",35,714,1.9201,1,144,0.69
sgYCDaMgJHM,France's REVENGE on Guinea After 1958 Independence Vote,"Oct 4, 2025",52,714,2.2294,1,321,1.56
mXEeviWSQg0,"The WAR that DISPLACED 700,000 People Overnight! #history","Sep 16, 2025",56,713,2.2154,0,140,1.43
fNmakaD6SqE,Did This Scholar Fake History? #history,"Sep 9, 2025",52,711,2.8574,0,212,0.47
qUK4E3uFiLM,How Corporations Get Away With Murder,"Sep 13, 2025",75,700,2.1759,0,124,3.23
9PdLCVwZhRI,What's REALLY Going On with CHINA's South China Sea Islands?,"Aug 23, 2025",40,692,2.0462,0,137,3.65
ZkZ3KZpeMjY,"Why Spain Still Defends Its Colonial Past""","Oct 13, 2025",70,691,4.7569,0,659,3.79
9vpYlo6wFHc,The Tribe Chile Tried To Erase Is Back! #history,"Sep 17, 2025",38,690,1.7325,0,228,1.32
VECo7W_uD44,He Paid 24 Tons of Gold for Freedom. They Killed Him Anyway.,"Oct 10, 2025",76,690,4.4208,1,192,1.56
juZg-irM6Sg,How Cyprus Became A Money Magnet! #history,"Sep 25, 2025",33,690,2.4008,0,142,1.41
3PKXwHL5dZU,Is Genocide Denial RUINING History?,"Sep 3, 2025",47,689,2.9141,0,250,2
xm3umdVI_kw,The South China Sea Claims: A Myth Busted #history,"Aug 24, 2025",68,675,3.0009,0,199,2.01
O6fWgutj6kw,The Map That Changed Asia Forever!,"Aug 22, 2025",54,667,1.9838,0,119,1.68
6ZdMG59CV9M,How a Colonial Map Error Became International Law!,"Oct 3, 2025",77,663,2.7363,0,244,1.23
QgrQ0XihzNU,DNA Proves Aztec Child Sacrifice Was Real,"Nov 5, 2025",64,662,3.7066,3,25,8
QC5kjM0hLUU,The Last Shaman Who Survived Indigenous Genocide #history,"Sep 18, 2025",73,656,3.9963,0,1376,0.87
iZbnFRA6YgI,Why African Countries Can't Control Their Own Money,"Oct 2, 2025",79,651,2.0394,1,231,1.73
PAUf3GjheUc,The Hidden History Of Indigenous Peoples,"Oct 10, 2025",51,645,3.1345,2,553,1.45
GuO_kg7_Rks,The Treaty Loophole That Shaped Central America,"Oct 31, 2025",33,634,0.9333,0,36,0
I8LPPphIF-M,What REALLY Sparked Kashmir Conflict in Minutes,"Aug 15, 2025",25,634,1.2505,0,101,0.99
I6RZFLbKqMQ,The SHOCKING Truth About Morocco's Western Sahara Proposal,"Oct 21, 2025",71,632,3.9773,1,828,5.07
7_mAls09aR0,Did Greece Really Own These Islands? #history,"Aug 28, 2025",60,630,2.7092,0,108,2.78
SNpi_91mhbw,The Truth About Taiwan And China Revealed!,"Aug 27, 2025",44,630,3.4495,1,145,2.76
a-IX_fIROYw,Forgotten Census SHATTERS Ethnic Conflict Myths!,"Sep 15, 2025",40,630,2.4635,0,411,0.24
AgOdfPEgmhg,Why Empires Always End in Bloodshed,"Aug 3, 2025",64,629,1.7494,0,68,5.88
PAmchHrrws8,Why Building Walls Won't Fix the Economy,"Aug 8, 2025",47,628,2.5632,1,56,0
kY1LsDd09rc,Did Vikings Have Female Commanders?,"Oct 24, 2025",92,626,10.4977,2,438,0.91
6axS1vEpIIE,Why Did Countries Change Their Minds About Genocide? #history,"Sep 8, 2025",93,621,3.9087,2,147,2.72
