Date,Content,Video title,Video publish time,Duration,Views
2025-07-22,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-23,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-24,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-25,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-26,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-27,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-28,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-29,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-07-30,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,1
2025-07-31,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,0
2025-08-01,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,2
2025-08-02,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,27
2025-08-03,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,68
2025-08-04,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,33
2025-08-05,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,11
2025-08-06,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,5
2025-08-07,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,8
2025-08-08,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,15
2025-08-09,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,7
2025-08-10,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,8
2025-08-11,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,12
2025-08-12,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,9
2025-08-13,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,14
2025-08-14,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,12
2025-08-15,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,2
2025-08-16,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,2
2025-08-17,7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,"Jul 29, 2025",718,11
