ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
sY2mvYFXHZ8,Atatürk's Defiance: How Turkey Defeated European Colonialism,"Primary documents reveal how the Treaty of Sèvres attempted to partition Turkey after WWI—until Atatürk's resistance sparked the Turkish War of Independence. Evidence-based analysis of territorial disputes, colonial powers, and the birth of modern Turkey through historical records.  #HistoryVsHype #TreatyOfSevres #Atatürk #TurkishIndependence #WWI #TerritorialDisputes",80,Public,11/19/2025,"treaty of sévres, ataturk, turkish war of independence, world war 1, territorial disputes, european colonialism, historical documents, ottoman empire, allied powers, post-war boundaries, independence movements, turkey history, colonial partition, historical analysis",0,0,0,0,0,44,-,0
9IVAWxxj_HQ,"The Oil That Changed History: Britain, Iraq, And The Lie","Britain promised Iraq independence post-WWI, but Mosul's 1920 oil discovery changed everything. This Short reveals the delayed independence, controversial border agreements, and League of Nations involvement through primary documents. Evidence-based analysis of colonial territorial disputes shaping modern Iraq.",78,Public,11/18/2025,"Iraq independence, British colonial history, Mosul oil discovery, League of Nations Iraq, colonial borders, Middle East history, territorial disputes, British promises broken, Iraq borders, colonial control",20.93183977049975,126,0,0,0,38,-,0
gGBKT8nKC7Y,Everyone's Wrong About Sykes-Picot #history #geography #shorts,"The Sykes-Picot Agreement gets blamed for Middle East borders, but original documents tell a different story. Using primary sources and treaties, we reveal why this historical myth persists - and what actually shaped modern borders. Evidence-based analysis that cuts through the misinformation. #HistoryVsHype",38,Public,11/17/2025,"Sykes-Picot Agreement, Middle East borders, colonial history, territorial disputes, historical myths, evidence-based, border creation, Middle East history, geopolitical history, documentary evidence, historical debunking, modern Middle East, treaty analysis, historical facts, border disputes",27.441614774826682,567,4,0,0,43,-,0
z9i1RbD3c_E,Britain Made Two Promises. Only One Was Real. #history #deception,"What did Britain promise Arab rebels in 1915 before betraying them with Sykes-Picot? This Short reveals the secret correspondence that created modern Middle East borders. Using original diplomatic documents from the McMahon-Hussein letters, we expose how British promises of Arab independence were secretly contradicted within months. The territorial deception that still drives conflicts today - explained with primary sources. Subscribe for evidence-based analysis of imperial lies that shaped our world.",43,Public,11/16/2025,"british promises, arab revolt, world war 1, sykes picot, middle east history, ottoman empire, colonial deception, territorial disputes, mcmahon hussein, british empire, arab independence, middle east borders, historical documents, imperial lies, sykes-picot agreement",28.353633335496987,700,10,0,0,70,-,1
W9SgZ8Qf5Ck,"Britain Lied About This Land In WWI, And We're Still Paying The Price","Britain made three contradictory promises about Middle Eastern territories during WWI - to Sharif Hussein, the British High Commissioner, and competing factions. Using original correspondence and maps, we expose how these overlapping agreements created the territorial disputes still fueling conflict today. The documents prove Britain knew they were making promises they couldn't keep",96,Public,11/15/2025,"britain three promises, sykes picot agreement, middle east betrayal, colonial lies, ottoman empire division, oil politics, broken promises, british foreign policy, middle east borders, arab promises, zionist promises, middle east conflict, colonial history, evidence-based history, geopolitical analysis",27.270337258992868,545,10,1,0,53,-,2
njjQoeA9lTE,The Middle East: A British Betrayal,"The Middle East borders weren't drawn on a single map—they emerged from Britain's web of three contradictory promises, oil-driven negotiations, and deliberate deceptions. I reveal the original documents showing how these broken commitments created century-long chaos. Primary sources, not speculation.",111,Public,11/14/2025,"britain three promises, sykes picot agreement, middle east betrayal, colonial lies, ottoman empire division, oil politics, broken promises, british foreign policy, middle east borders, arab promises, zionist promises, middle east conflict, colonial history, evidence-based history, geopolitical analysis",25.019550008653873,324,7,0,0,40,-,2
BXyT8OTGBBo,The Sykes-Picot LIE That Created The Modern Middle East,"The 1916 Sykes-Picot Agreement didn't draw today's Middle East borders - here's the evidence that proves otherwise.  Everyone blames Sykes-Picot for ""carving up the Middle East with a ruler"" - Daesh cited it, Kurdish activists point to it, Palestine analysts invoke it constantly. But when you look at the actual documents? The borders we see today weren't finalized until 10-15 years later, through a contested process involving oil deals, local uprisings, and League of Nations commissions.  This video uses primary sources - the original Hussein-McMahon correspondence, Sykes-Picot Agreement text, Balfour Declaration, San Remo Conference records, and League of Nations archives - to show what actually happened.  KEY SOURCES: • Hussein-McMahon Correspondence (1915) - British Foreign Office Archives • Sykes-Picot Agreement (May 16, 1916) - National Archives, FO 371/2767 • Meeting Minutes, November 23, 1915 - British officials briefing Georges-Picot • Balfour Declaration (November 2, 1917) • San Remo Conference Records (April 1920) • Treaty of Sèvres (August 10, 1920) and Treaty of Lausanne (July 24, 1923) • League of Nations Mosul Commission Report (1925-1926) • Anglo-Saudi Treaty fixing Iraq-Najd border (1922)  ACADEMIC REFERENCES: • James Barr, ""A Line in the Sand: Britain, France and the Struggle for the Mastery of the Middle East"" • David Fromkin, ""A Peace to End All Peace: The Fall of the Ottoman Empire and the Creation of the Modern Middle East"" • Margaret MacMillan, ""Paris 1919: Six Months That Changed the World"" • Toby Dodge, ""Inventing Iraq: The Failure of Nation-Building and a History Denied""  New videos weekly exposing the myths behind today's breaking news.  ## CHAPTERS (YouTube Timestamps)  0:00 - The Sykes-Picot Myth Everyone Repeats 0:45 - The Evidence: Borders Don't Match the 1916 Map 1:45 - These Places Already Existed (Ottoman Records) 2:30 - Britain's Three Contradictory Promises 3:00 - Promise One: Hussein-McMahon (Arab Independence) 4:00 - Promise Two: Sykes-Picot (Anglo-French Zones) 4:45 - The Smoking Gun: ""Throwing Dust in Their Eyes"" 5:30 - Promise Three: Balfour Declaration 6:00 - How Borders Were Actually Drawn (1920-1932) 7:00 - The Mosul Oil Question 7:45 - Modern Parallel: Israeli ""Temporary Occupation"" 8:00 - Local Resistance: Turkey Rewrites the Map 8:45 - Iraq 1920 Uprising Forces British Changes 9:15 - Why Daesh, Kurds, and Analysts All Cite Sykes-Picot 10:30 - What the Evidence Actually Shows 11:15 - Subscribe for Evidence-Based History",666,Public,11/13/2025,"Sykes Picot, Middle East borders, World War 1, Ottoman Empire, Balfour Declaration, Hussein McMahon, Middle East history, British mandate Palestine, Sykes Picot Agreement, WWI Middle East, how were Middle East borders drawn, who created Middle East borders, Sykes Picot myth, Middle East mandate system, Treaty of Lausanne, Iraq 1920 uprising, Middle East conflicts, Palestine history, Kurdish independence, ISIS Sykes Picot, colonial borders, history documentary",14.573942985382715,29,1,2,0,385,-,4
4G3fyANLG18,John Adams vs Christianity: The 1797 Contradiction,John Adams praised Christianity publicly but signed the 1797 Treaty of Tripoli stating America's government was NOT founded on Christian religion. This contradiction reveals America's founders didn't all agree on Christianity's role. Full analysis in my latest long-form video - link in bio. #HistoryVsHype,36,Public,11/13/2025,"Treaty of Tripoli, John Adams, founding fathers, American history, Christianity, constitutional history, primary sources, historical documents, secular government, religious freedom, presidential history, American revolution, religious neutrality, evidence-based history, myth-busting, 1797, colonial history",24.786284536110536,307,3,4,0,44,-,2
Ijax0o37dHQ,The Church Rejected Religious Freedom for Decades,"Official church documents show opposition to religious freedom even 50+ years after America's founding. While Christianity is credited with inventing human rights, historical church positions actually labeled religious freedom as an error. Primary source analysis reveals the gap between popular narratives and documented facts.#christianity  #HumanRights #ReligiousFreedom #ChurchHistory #PrimarySources #EvidenceBased #HistoricalMyths #FactChecking",76,Public,11/12/2025,"Church history religious freedom, Christianity human rights, primary sources analysis, evidence-based history, religious liberty, Catholic Church documents, Protestant Reformation, Declaration of Independence, historical myth-busting, Christian supremacy, church state separation, theological arguments, religious persecution, First Amendment, constitutional history, academic research, fact-checking history, historical archives, manuscript analysis, institutional power",27.157704152412457,531,5,4,0,51,-,1
JAmPiZNGU5w,How Haiti Beat Europe to Abolish Slavery in 1804,"First nation in the Americas to abolish slavery - not through legislation, but revolution. Haiti defeated France, Britain, and Spain in 1804 while Britain waited until 1833 and Brazil until 1888. This overlooked achievement ended 300+ years of colonial oppression in the Western Hemisphere.  #Haiti #Slavery #Abolition #1804 #Colonialism #Revolutions #FirstToAbolish #EvidenceBased  Why this structure works for your channel:",51,Public,11/11/2025,"Haiti slavery abolition 1804, Haitian Revolution, first country abolish slavery, Toussaint Louverture, Jean-Jacques Dessalines, French colonial history, British slavery abolition 1833, Brazil slavery abolition 1888, colonial independence, Caribbean history, evidence-based history, historical myth-busting, primary sources, Western Hemisphere abolition, colonial oppression, revolutionary history, slavery timeline, historical facts, documentary analysis",25.85515650677582,393,2,1,0,59,0,0
