video_id,title,published,duration,duration_sec,views,watch_time_hours,avg_view_percentage,avg_view_duration,avg_view_duration_sec,ctr_percent,impressions,likes,dislikes,comments,shares,subscribers_gained,subscribers_lost,engagement_rate,subs_per_100_views,like_rate
Y21EjQ0v9W4,The Country That Might Disappear: Guatemala vs Belize,2025-10-27,10:57,657,28808,1857.4,35.3,3:52,232,7.57,280581,371,22,125,440,142,2,1.72,0.49,1.29
XbGl1Kcspt4,Guatemala vs Belize Dispute: What 3 ICJ Cases Show,2025-12-04,11:08,668,5091,361.8,38.3,4:15,255,8.94,41134,115,5,27,125,51,0,2.79,1.0,2.26
oDK52GwjTIo,Venezuela vs Guyana: The Oil War Over Essequibo,2025-10-19,10:33,633,1961,119.1,34.5,3:38,218,4.31,36111,26,1,4,24,19,0,1.53,0.97,1.33
LO_fUeX9IEQ,JD Vance Claims Christians Found Child Sacrifice. Here's the Evidence.,2025-11-04,6:16,376,1125,31.1,26.5,1:39,99,9.49,9671,37,3,16,16,16,0,4.71,1.42,3.29
_N_08zn95FY,Why TURKEY and GREECE Can't Agree on these islands.,2025-08-27,9:08,548,923,54.6,38.9,3:33,213,3.1,21533,33,10,20,7,13,0,5.74,1.41,3.58
VyPv2n4mii8,Primary Sources Destroy the 'Awesome Crusades' Narrative,2025-11-27,10:35,635,665,31.4,26.8,2:49,169,5.42,9758,18,4,6,2,7,1,3.61,1.05,2.71
7fpBz6uo504,5 Big Myths About Israel and Palestine Busted!,2025-07-29,11:58,718,627,38.7,31.0,3:42,222,3.8,11324,27,5,18,19,11,1,7.18,1.75,4.31
GuL9PtXEjN0,Somaliland's Legal Independence Problem,2026-01-01,11:13,673,389,17.1,23.6,2:38,158,3.66,5569,17,0,5,21,5,1,5.66,1.29,4.37
UH2PddfaaR8,How the KGB Weaponized Palestinian Resistance,2025-09-25,10:06,606,263,18.6,42.0,4:14,254,5.31,3126,20,0,6,21,14,1,9.89,5.32,7.6
LCze9B2xpOI,The SHOCKING Truth About China's TAIWAN History,2025-08-23,9:35,575,255,11.3,27.7,2:39,159,2.72,7238,10,2,5,0,2,0,5.88,0.78,3.92
